SQUARE,PLOT,ANO,PH,LOI,C_CONC_LOI,C_STOCK_LOI,BULK_DENSITY,MOISTURE,N_PERCENT,N_STOCK,PO4_OLSEN,LC07,LC07_NUM,COUNTRY,COUNTY07,EZ_DESC_07,STATE_PH,STATE_NUMBER
BKRDLI,QSELEPESJX,2007,6.23,21.77706,119.77383,97.75221179,0.544093323,53.64036178,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Levemenete Ácido,4
BKRDLI,ZKFMTPGMJP,2007,5.9,24.60375,135.320625,81.31700106,0.400613979,57.69188473,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
BLRZDJ,CWBUNNVMZC,2007,5.72,27.34125,150.376875,61.20129541,0.271324056,74.99417133,,,,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),Moderadamente Ácido,3
BLRZDJ,GFIQTPVEXT,2007,4.37,93.7676,515.7218,58.8371769,0.076058031,92.80246842,,,,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),Fuertemenete Ácido,2
BLRZDJ,LPESCVWNGD,2007,4.12,94.82258,521.52419,46.41650512,0.059334423,93.37607859,,,,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),Fuertemenete Ácido,2
BLRZDJ,POVVGRQVMX,2007,4.76,65.19461,358.570355,71.66948647,0.13325044,86.73933016,,,,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),Fuertemenete Ácido,2
BLRZDJ,SFYTGAQTUY,2007,5.08,95.1758,523.4669,32.58584525,0.041500039,94.90331145,,,,25s,33,SCO,Argyll & Bute,Lowlands (Scotland),Moderadamente Ácido,3
BOONVD,OGJFMRMYLJ,2007,7,3.036593,16.7012615,38.92138666,1.553630611,9.971818062,,,,10e,10,ENG,North Yorkshire,Westerly lowlands (England),Neutro,5
BOONVD,OUFHLLOQPV,2007,7.35,4.3673,24.02015,47.99272556,1.33201293,19.42382384,,,,10e,10,ENG,North Yorkshire,Westerly lowlands (England),Neutro,5
BOONVD,PRKBDWKWZK,2007,7.18,4.649841,25.5741255,57.22851802,1.49183382,17.65385737,,,,10e,10,ENG,North Yorkshire,Westerly lowlands (England),Neutro,5
BOONVD,VMGBELFZYG,2007,7.06,3.951261,21.7319355,52.74883796,1.61816659,13.75567961,,,,10e,10,ENG,North Yorkshire,Westerly lowlands (England),Neutro,5
CRWYWA,CSGQNHZDQP,2007,4.73,78.44412,431.44266,47.13563578,0.072834145,91.57470626,,,,21s,29,SCO,Highland,True uplands (Scotland),Fuertemenete Ácido,2
CRWYWA,JJVUYKELMF,2007,4.8,35.33057,194.318135,106.2223397,0.364427608,69.35633597,,,,21s,29,SCO,Highland,True uplands (Scotland),Fuertemenete Ácido,2
CRWYWA,VWCGWKKTCE,2007,5.09,5.08982,27.99401,44.93772306,1.070174728,33.50031521,,,,21s,29,SCO,Highland,True uplands (Scotland),Moderadamente Ácido,3
CRWYWA,XUCYYYDPGN,2007,4.56,88.37853,486.081915,103.8954312,0.142493721,85.6131886,,,,21s,29,SCO,Highland,True uplands (Scotland),Fuertemenete Ácido,2
CRWYWA,ZCFPEEDDYB,2007,4.34,94.50591,519.782505,52.43178084,0.067248359,92.17331038,,,,21s,29,SCO,Highland,True uplands (Scotland),Fuertemenete Ácido,2
CTERRY,LUKQONGWPN,2007,5.97,30.06819,165.375045,45.56265282,0.183674035,58.40205037,,,,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
CTERRY,NHHHOZPOTW,2007,5.59,29.38873,161.638015,69.21156726,0.285459116,61.67976455,,,,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
CTERRY,VHYJQKRCDG,2007,5.26,37.42686,205.84773,74.91206347,0.242613196,75.44622054,,,,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),Moderadamente Ácido,3
CTERRY,XRVERDLYEZ,2007,6.35,9.345276,51.399018,57.25541369,0.742626557,36.22291828,,,,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),Levemenete Ácido,4
CTERRY,YYFLHGCZUK,2007,4.87,83.52032,459.36176,37.50443948,0.05442978,91.50728868,,,,29s,37,SCO,Highland,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
CTFSTL,CRCUZMDOKM,2007,4.47,96.46895,530.579225,63.57105688,0.079876299,91.36969374,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
CTFSTL,KULCZEGJII,2007,4.35,94.31272,518.71996,61.34011057,0.078835229,89.85333825,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
CTFSTL,PGOEKGBWZR,2007,4.53,95.89996,527.44978,75.1466195,0.094981074,90.03403563,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
CTFSTL,WBJWVGLAAE,2007,4.26,95.43378,524.88579,64.74893329,0.082238758,87.86383156,,,,30s,38,SCO,Argyll & Bute,Intermediate uplands and Islands (Scotland),Fuertemenete Ácido,2
DDNTIC,EWWQNBVWGR,2007,4.36,49.54443,272.494365,159.8840244,0.391161665,64.30760138,,,,19e,21,ENG,North Yorkshire,Uplands (England),Fuertemenete Ácido,2
DDNTIC,IXVGRMVNLO,2007,4.05,69.78867,383.837685,76.0426814,0.132074371,59.33083165,,,,19e,21,ENG,North Yorkshire,Uplands (England),Fuertemenete Ácido,2
DDNTIC,WSLYUOJMQG,2007,3.83,85.24345,468.838975,51.90068115,0.073800294,85.68698653,,,,19e,21,ENG,North Yorkshire,Uplands (England),Extremadamente Ácido,1
DEJBBK,AHEQVLACCK,2007,7.87,10.08098,55.44539,83.45870005,1.00349431,34.93930043,0.53,7.977779762,9,1e,1,ENG,South Gloucestershire Unitary Authority,Westerly lowlands (England),Levemenete Alcalino,6
